Date,Open,High,Low,Close,Pcr,Volume
2017-01-02,2241.38,2244.88,2241.38,2243.25,0.00,0
2017-01-03,2240.75,2259.50,2239.50,2252.50,1.58,1290036
2017-01-04,2252.75,2267.25,2251.00,2264.25,1.18,1054406
2017-01-05,2264.50,2266.00,2254.00,2264.25,1.66,900747
2017-01-06,2264.25,2277.00,2258.25,2271.50,1.52,1276095
2017-01-08,2270.50,2273.25,2270.50,2272.75,0.00,0
2017-01-09,2271.25,2275.25,2263.50,2265.00,1.84,860867
2017-01-10,2264.50,2274.00,2259.50,2263.75,1.80,848545
2017-01-11,2263.75,2271.75,2255.00,2270.50,1.59,1045697
2017-01-12,2270.50,2270.50,2248.50,2263.50,1.52,1090856
2017-01-13,2264.50,2273.50,2262.75,2272.50,1.54,1136596
2017-01-16,2268.50,2269.50,2265.00,2266.25,0.00,0
2017-01-17,2270.25,2270.50,2257.25,2262.75,1.64,1166895
2017-01-18,2262.00,2268.50,2258.25,2266.50,1.76,1422315
2017-01-19,2265.50,2269.50,2253.00,2261.50,1.60,1087536
2017-01-20,2261.00,2272.75,2259.75,2266.00,2.12,1133653
2017-01-22,2266.25,2266.50,2259.50,2259.75,0.00,0
2017-01-23,2266.00,2267.50,2251.75,2262.00,1.57,1154196
2017-01-24,2260.75,2280.50,2259.50,2274.50,1.09,872720
2017-01-25,2275.75,2295.25,2274.75,2294.00,0.97,1587128
2017-01-26,2293.75,2299.50,2289.50,2294.00,1.76,827880
2017-01-27,2294.00,2296.75,2287.00,2289.00,1.59,1067859
2017-01-30,2282.00,2285.75,2263.25,2276.00,1.88,1215580
2017-01-31,2275.75,2278.25,2262.25,2274.50,1.78,971865
2017-02-01,2277.00,2285.00,2268.25,2274.50,1.62,936081
2017-02-02,2275.00,2279.75,2264.50,2275.50,2.21,868687
2017-02-03,2274.00,2294.00,2270.50,2291.00,1.91,1315966
2017-02-06,2293.00,2294.25,2283.50,2286.50,1.61,1177406
2017-02-07,2286.50,2295.00,2284.00,2285.75,1.66,789195
2017-02-08,2285.75,2292.00,2281.00,2290.25,1.21,942198
2017-02-09,2290.50,2307.75,2287.75,2304.25,1.34,1238839
2017-02-10,2304.25,2315.75,2303.00,2312.75,1.21,1432879
2017-02-13,2314.25,2329.00,2313.25,2326.25,1.17,1555950
2017-02-14,2326.75,2337.75,2319.75,2335.25,1.16,1414097
2017-02-15,2335.50,2351.50,2331.25,2350.50,1.39,1883910
2017-02-16,2350.25,2350.75,2336.75,2345.50,1.65,1347467
2017-02-17,2345.00,2348.75,2336.50,2348.00,1.76,1171091
2017-02-20,2347.25,2356.75,2346.00,2353.25,0.00,0
2017-02-21,2346.50,2365.00,2346.00,2360.00,1.15,1610181
2017-02-22,2360.00,2363.75,2355.25,2361.00,1.47,1211159
2017-02-23,2360.75,2367.25,2353.00,2360.00,1.26,1059824
2017-02-24,2361.50,2365.75,2349.50,2365.00,1.70,1331745
2017-02-26,2363.25,2368.50,2363.25,2367.00,0.00,0
2017-02-27,2367.50,2370.75,2361.00,2365.50,1.60,1123558
2017-02-28,2365.88,2368.75,2357.50,2364.75,1.54,1136584
2017-03-01,2365.25,2401.00,2364.50,2392.25,1.15,2119739
2017-03-02,2393.00,2394.50,2378.00,2379.00,1.64,1315622
2017-03-03,2379.75,2383.25,2373.75,2381.25,1.56,1318790
2017-03-06,2371.25,2378.25,2367.00,2372.25,1.43,1113595
2017-03-07,2371.25,2375.50,2364.50,2366.50,1.69,823042
2017-03-08,2365.75,2373.00,2359.50,2364.00,1.62,1084158
2017-03-09,2364.50,2369.25,2354.00,2367.75,2.07,950430
2017-03-10,2367.50,2379.75,2362.25,2371.75,1.94,1107367
2017-03-13,2366.00,2372.00,2365.25,2370.50,1.49,1123484
2017-03-14,2370.25,2371.00,2354.75,2364.25,1.72,911642
2017-03-15,2364.50,2387.50,2363.25,2382.00,1.42,1238080
2017-03-16,2381.75,2388.75,2373.50,2378.00,1.51,1228909
2017-03-17,2382.25,2385.75,2379.00,2385.80,2.54,1185911
2017-03-20,2372.50,2376.00,2365.50,2370.00,2.04,1004152
2017-03-21,2369.00,2378.75,2336.50,2336.75,1.90,1264599
2017-03-22,2338.75,2348.75,2332.25,2348.00,1.99,1556671
2017-03-23,2347.75,2356.00,2338.50,2343.25,1.65,1097865
2017-03-24,2343.00,2352.75,2331.75,2342.25,2.59,1196669
2017-03-27,2331.25,2341.50,2318.00,2340.50,1.71,1259816
2017-03-28,2341.00,2360.50,2333.50,2353.00,1.33,1131045
2017-03-29,2353.00,2359.75,2348.75,2357.00,1.81,854286
2017-03-30,2357.00,2366.75,2353.25,2364.50,1.78,1019793
2017-03-31,2365.50,2366.75,2356.75,2359.25,2.00,1266633
2017-04-03,2357.50,2363.25,2340.00,2356.00,2.07,951394
2017-04-04,2354.50,2359.75,2344.75,2358.50,1.65,658342
2017-04-05,2358.50,2375.00,2343.75,2345.25,1.65,1280776
2017-04-06,2344.00,2361.25,2338.00,2355.50,1.91,765481
2017-04-07,2355.25,2360.75,2336.75,2352.25,2.35,1044266
2017-04-10,2351.75,2363.25,2347.50,2352.50,1.93,831887
2017-04-11,2354.25,2355.75,2333.25,2351.00,1.57,1078258
2017-04-12,2351.75,2356.50,2337.50,2340.75,1.83,1011346
2017-04-13,2338.75,2345.00,2324.00,2327.50,1.80,1438798
2017-04-16,2323.75,2326.75,2323.75,2325.00,0.00,0
2017-04-17,2325.00,2346.00,2322.75,2344.50,1.30,1095873
2017-04-18,2344.75,2347.00,2330.50,2337.50,1.27,947777
2017-04-19,2337.75,2349.25,2331.25,2333.75,1.70,1320446
2017-04-20,2334.75,2358.25,2333.50,2353.00,1.52,1364016
2017-04-21,2352.75,2356.00,2340.50,2347.50,2.52,1174793
2017-04-24,2365.75,2376.75,2365.25,2370.00,1.93,1452594
2017-04-25,2368.75,2389.25,2368.25,2383.00,1.22,1678552
2017-04-26,2383.00,2394.75,2381.25,2382.00,1.38,1019439
2017-04-27,2383.25,2388.75,2378.75,2385.50,2.04,880310
2017-04-28,2386.25,2388.75,2378.25,2380.50,1.74,1097962
2017-05-01,2378.50,2390.75,2378.50,2386.75,0.00,0
2017-05-02,2386.00,2388.75,2382.00,2384.50,1.90,316672
2017-05-03,2384.00,2386.00,2375.50,2383.25,2.25,427507
2017-05-04,2385.75,2391.00,2376.00,2385.50,1.61,238049
